alphanumeric ID,Serial number ,Site,Collection Date,Sampling Method,Order,Taxa,Genus,Species,Count,Taxa Level,Host,Who ID,ID date,Deterioration,Confidence,Notes
NSSN_bv_hym_13Sep22,112.1,NSSN,09/13/22,blue vane,hymenoptera,formicidae,,,1,family,,LZ,11/17/2023,,,
NCTC_bv_hym_30Sep22,113.1,NCTC,09/30/22,blue vane,hymenoptera,halictidae,,,1,family,,LZ,11/17/2023,deteriorating,low,Some wing damage
TAD_bv_hym_13Sep22,114.1,TAD,09/13/22,blue vane,hymenoptera,vespidae,,,3,family,,LZ,11/17/2023,,,Various species
TAD_bv_hym_13Sep22,114.2,TAD,09/13/22,blue vane,hymenoptera,chrysididae,,,1,family,,LZ,11/17/2023,,,
TAD_bv_hym_13Sep22,114.3,TAD,09/13/22,blue vane,hymenoptera,formicidae,,,1,family,,LZ,11/17/2023,,,
SAS_bv_hym_19Oct22,115.1,SAS,10/19/22,blue vane,hymenoptera,formicidae,,,2,family,,LZ,11/29/2023,,,
SAS_bv_hym_19Oct22,115.2,SAS,10/19/22,blue vane,hymenoptera,vespidae,,,2,family,,LZ,11/29/2023,,,
SELS_bv_hym_26Jul22,102.3,SELS,07/26/22,blue vane,hymenoptera,chalcidoidea,,,2,superfamily,,LZ,11/29/2023,deteriorating,,Degraded samples - superfamily
NSCS_bv_hym_20Oct22,116.1,NSCS,10/20/22,blue vane,hymenoptera,chrysididae,,,1,family,,LZ,11/29/2023,,,
NSCS_bv_hym_20Oct22,116.2,NSCS,10/20/22,blue vane,hymenoptera,vespidae,,,1,family,,LZ,11/29/2023,,,
SAS_bv_hym_28Jul22,117.1,SAS,07/28/22,blue vane,hymenoptera,formicidae,,,3,family,,LZ,11/29/2023,,,Varying sizes and number of humps
SAS_bv_hym_28Jul22,117.2,SAS,07/28/22,blue vane,coleoptera,NA,,,1,,,LZ,11/29/2023,,,Not a Hymenoptera. Possible bycatch. Very tiny
NCTC_bv_hym_20Oct22,118.1,NCTC,10/20/22,blue vane,hymenoptera,chrysididae,,,90,family,,LZ,11/30/2023,,,
NCTC_bv_hym_20Oct22,118.2,NCTC,10/20/22,blue vane,hymenoptera,vespidae,,,2,family,,LZ,11/30/2023,,,
NCTC_bv_hym_20Oct22,118.3,NCTC,10/20/22,blue vane,hymenoptera,formicidae,,,3,family,,LZ,11/30/2023,,,Multiple species
NCTC_bv_hym_20Oct22,118.4,NCTC,10/20/22,blue vane,hymenoptera,ichneumonidae,,,1,family,,LZ,11/30/2023,,,
SLSC_bv_hym_14Oct22,119.1,SLSC,10/14/22,blue vane,hymenoptera,chrysididae,,,3,family,,LZ,12/22/2023,,,
SLSC_bv_hym_14Oct22,119.2,SLSC,10/14/22,blue vane,hymenoptera,vespidae,,,5,family,,LZ,12/22/2023,,,
SLSC_bv_hym_14Oct22,119.3,SLSC,10/14/22,blue vane,hymenoptera,pompilidae,,,1,family,,LZ,12/22/2023,,,
SELS_sn_hym_12Jul22,120.1,SELS,07/12/22,sweep net,hymenoptera,formicidae,,,73,family,,LZ,1/2/2024,Yes,high,Multiple species
SELS_sn_hym_12Jul22,120.2,SELS,07/12/22,sweep net,hymenoptera,halictidae,,,5,family,,LZ,1/2/2024,,,
SELS_sn_hym_12Jul22,120.3,SELS,07/12/22,sweep net,hymenoptera,chalcidoidea,,,10,superfamily,,LZ,1/2/2024,,low,Possible pteromalidae
TAD_pf_hym_22Jul22,121.1,TAD,07/22/22,pitfall,hymenoptera,formicidae,,,29,family,,LZ,1/2/2024,,high,Multiple species
TAD_pf_hym_22Jul22,121.2,TAD,07/22/22,pitfall,hymenoptera,chalcidoidea,,,11,superfamily,,LZ,1/2/2024,,low,
NSCN_sn_hym_26Aug22,122.1,NSCN,08/26/22,sweep net,hymenoptera,formicidae,,,4,family,,LZ,1/8/2024,,high,
SLNS_pf_hym_12Jul22,123.1,SLNS,07/12/22,pitfall,hymenoptera,formicidae,,,92,family,,LZ,1/12/2024,deteriorating,high,Multiple species 
SLNS_pf_hym_12Jul22,123.2,SLNS,07/12/22,pitfall,hymenoptera,pompilidae,,,1,family,,LZ,1/12/2024,intact,high,
SLNS_pf_hym_12Jul22,123.3,SLNS,07/12/22,pitfall,hymenoptera,bethylidae,,,2,family,,LZ,1/12/2024,intact,high,
NSCN_sn_hym_20Oct22,124.1,NSCN,10/20/22,sweep net,hymenoptera,chalcidoidea,,,1,superfamily,,LZ,1/12/2024,intact,high,
SLSC_sn_hym_19Oct22,125.1,SLSC,10/19/22,sweep net,hymenoptera,chalcidoidea,,,1,superfamily,,LZ,1/12/2024,deteriorating,low,
NCTC_sn_hym_31Aug22,126.1,NCTC,08/31/22,sweep net,hymenoptera,formicidae,,,1,family,,LZ,1/12/2024,intact,high,
NCTC_sn_hym_31Aug22,126.2,NCTC,08/31/22,sweep net,hymenoptera,chalcidoidea,,,1,superfamily,,LZ,1/12/2024,intact,high,
NSSN_bv_hym_31Aug22,127.1,NSSN,08/31/22,blue vane,hymenoptera,vespidae,,,1,family,,LZ,1/24/2024,intact,high,
NSSN_bv_hym_31Aug22,127.2,NSSN,08/31/22,blue vane,hymenoptera,andrenidae,,,2,family,,AF,1/25/2024,intact,low,
NSSN_bv_hym_31Aug22,127.3,NSSN,08/31/22,blue vane,hymenoptera,formicidae,,,1,family,,AF,1/25/2024,intact,high,
NSSN_bv_hym_31Aug22,127.4,NSSN,08/31/22,blue vane,hymenoptera,chrysididae,,,20,family,,AF,1/25/2024,intact,high,
SELS_sn_hym_26Jul22,128.1,SELS,07/26/22,sweep net,hymenoptera,formicidae,,,8,family,,CB,1/25/2024,intact,high,
NSSN_bv_hym_31Aug22,127.5,NSSN,08/31/22,blue vane,hymenoptera,halictidae,,,2,family,,AF,1/25/2024,intact,high,
SELS_sn_hym_26Jul22,128.2,SELS,07/26/22,sweep net,hymenoptera,ichneumonidae,,,1,family,,CB,1/25/2024,intact,high,
NCTC_bv_hym_30Sep22,113.2,NCTC,09/30/22,blue vane,hymenoptera,platygastronidae,,,1,superfamily,,LZ,1/26/2024,deteriorating,low,
TSCS_bv_hym_28Sep22,129.1,TSCS,09/28/22,blue vane,hymenoptera,chrysididae,,,1,family,,LZ,1/26/2024,intact,high,
TSCS_bv_hym_28Sep22,129.2,TSCS,09/28/22,blue vane,hymenoptera,vespidae,,,5,family,,LZ,1/26/2024,intact,high,
SELS_bv_hym_19Oct22,130.1,SELS,10/19/22,blue vane,hymenoptera,vespidae,,,1,family,,CB,1/30/2024,intact,high,
TAD_bv_hym_20Oct22,131.1,TAD,10/20/22,blue vane,hymenoptera,vespidae,,,2,family,,CB,1/30/2024,intact,high,
TAD_bv_hym_20Oct22,131.2,TAD,10/20/22,blue vane,hymenoptera,chrysididae,,,59,family,,CB,1/30/2024,intact,high,all the same except two that are black metalic rather than iridescent metalic and have long mouth parts
TSSS_bv_hym_15Jul22,132.1,TSSS,07/15/22,blue vane,hymenoptera,crabronidae,,,1,family,,CB,1/30/2024,intact ,low,
TY_bv_hym_2Aug22,133.1,TY,08/02/22,blue vane,hymenoptera,chrysididae,,,1,family,,CB,2/1/2024,intact,high,
TY_bv_hym_2Aug22,133.2,TY,08/02/22,blue vane,hymenoptera,pompilidae,,,1,family,,CB,2/1/2024,intact,high,
NSSN_bv_hym_2Aug22,134.1,NSSN,08/02/22,blue vane,hymenoptera,crabronidae,,,1,family,,CB,2/1/2024,intact,high,
NSSN_bv_hym_12Aug22,135.1,NSSN,08/12/22,blue vane,hymenoptera,crabronidae,,,1,family,,AF,2/1/2024,intact,low,
NSSN_bv_hym_12Aug22,135.2,NSSN,08/12/22,blue vane,hymenoptera,colletidae ,,,3,family,,AF,2/1/2024,deteriorating,low,one was punctured
NSSN_bv_hym_2Aug22,134.3,NSSN,08/02/22,blue vane,hymenoptera,colletidae,,,3,family,,CB,2/1/2024,intact,low,
NSSN_bv_hym_2Aug22,134.2,NSSN,08/02/22,blue vane,hymenoptera,formicidae,,,1,family,,CB,2/1/2024,intact,high,
NCTC_sn_hym_21Aug22,136.1,NCTC,08/31/22,sweep net,hymenoptera,braconidae,,,1,family,,AF,2/1/2024,intact,high,
NCTC_sn_hym_21Aug22,136.2,NCTC,08/31/22,sweep net,hymenoptera,proctotrupoidea,,,1,superfamily,,AF,2/1/2024,intact,high,
TSCS_sn_hym_11Aug22,137.1,TSCS,08/11/22,sweep net,hymenoptera,braconidae,,,2,family,,AF,2/1/2024,intact,high,
TSCS_sn_hym_11Aug22,137.2,TSCS,08/11/22,sweep net,hymenoptera,formicidae,,,1,family,,AF,2/1/2024,intact,high,
TSCS_sn_hym_11Aug22,137.3,TSCS,08/11/22,sweep net,hymenoptera,ceraphronoidea,,,1,family,,AF,2/1/2024,intact,high,
SLSC_bv_hym_26Jul22,138.1,SLSC,07/26/22,blue vane,hymenoptera,formicidae,,,5,family,,SA,2/2/2024,intact,high,
SLSC_bv_hym_26Jul22,138.2,SLSC,07/26/22,blue vane,hymenoptera,chrysididae,,,2,family,,SA,2/2/2024,intact,high,Stunning
SLSC_bv_hym_26Jul22,138.3,SLSC,07/26/22,blue vane,hymenoptera,halictidae,,,2,family,,SA,2/2/2024,intact,high,
TSCS_bv_hym_15Jul22,139.1,TSCS,07/15/22,blue vane,hymenoptera,andrenidae,,,1,family,,SA,2/5/2024,intact,low,
TSCS_bv_hym_15Jul22,139.2,TSCS,07/15/22,blue vane,hymenoptera,formicidae,,,1,family,,SA,2/5/2024,intact,high,
TAD_sn_hym_28Sep22,140.1,TAD,09/28/22,sweep net,hymenoptera,formicidae,,,5,family,,LZ,2/5/2024,intact,high,
SELS_bv_hym_12Jul22,141.1,SELS,07/12/22,blue vane,hymenoptera,chrysididae,,,4,family,,SA,2/5/2024,intact,high,
TAD_sn_hym_28Sep22,140.2,TAD,09/28/22,sweep net,hymenoptera,chalcidoidea,,,1,superfamily,,LZ,2/5/2024,intact,high,
SELS_bv_hym_12Jul22,141.2,SELS,07/12/22,blue vane,hymenoptera,formicidae,,,8,family,,SA,2/5/2024,deteriorating,low,theres one that we are unsure about. 
TAD_sn_hym_28Sep22,140.3,TAD,09/28/22,sweep net,hymenoptera,Braconidae,,,1,family,,LZ,2/5/2024,intact,high,
SELS_bv_hym_12Jul22,141.3,SELS,07/12/22,blue vane,diptera,NA,,,1,order,,SA,2/5/2024,intact,high,she does not go here
SELS_bv_hym_12Jul22,141.4,SELS,07/12/22,blue vane,hymenoptera,pompilidae,,,2,family,,SA,2/5/2024,intact,high,
TSCS_bv_hym_7Jul22,142.1,TSCS,07/13/22,blue vane,hymenoptera,ichneumonidae,,,1,family,,CB,2/6/2024,intact,high,
TY_sn_hym_14Sep22,143.1,TY,09/14/22,sweep net,hymenoptera,formicidae,,,2,family,,LZ,2/6/2024,intact,high,
TY_sn_hym_14Sep22,143.2,TY,09/14/22,sweep net,hymenoptera,vespidae,,,1,family,,LZ,2/6/2024,intact,high,
NCTC_sn_hym_14Sep22,144.1,NCTC,09/14/22,sweep net,hymenoptera,formicidae,,,3,family,,CB,2/6/2024,intact,high,
NCTC_sn_hym_14Sep22,144.2,NCTC,09/14/22,sweep net,hymenoptera,braconidae,,,1,family,,CB,2/6/2024,intact,low,
NCTC_sn_hym_14Sep22,144.3,NCTC,09/14/22,sweep net,hymenoptera,chalcidoidea,,,1,superfamily,,CB,2/8/2024,intact,high,
NSSN_bv_hym_15July22,145.1,NSSN,07/15/22,blue vane,hymenoptera,formicidae,,,2,family,,AF,2/8/2024,deteriorating,high,
NCTC_sn_hym_14Sep22,144.4,NCTC,09/14/22,sweep net,hymenoptera,cynipoidea,,,2,superfamily,,CB,2/8/2024,intact,high,
NSSN_bv_hym_15July22,145.2,NSSN,07/15/22,blue vane,hymenoptera,halictidae,,,2,family,,AF,2/8/2024,deteriorating,high,wings are a little broken
NCTC_sn_hym_14Sep22,144.5,NCTC,09/14/22,sweep net,hymenoptera,platygastroidea,,,2,superfamily,,CB,2/8/2024,intact,low,
NSSN_bv_hym_15July22,145.3,NSSN,07/15/22,blue vane,hymenoptera,chrysididae,,,3,family,,AF,2/8/2024,intact,high,
NSSN_bv_hym_15July22,145.4,NSSN,07/15/22,blue vane,hymenoptera,colletidae,,,6,family,,AF,2/8/2024,intact,high,
NSSN_bv_hym_15July22,145.5,NSSN,07/15/22,blue vane,thysanoptera,NA,,,1,order,,AF,2/8/2024,deteriorating,high,translucent
NSCN_sn_hym_28Sep22,146.1,NSCN,09/28/22,sweep net,hymenoptera,formicidae,,,1,family,,AF,2/8/2024,intact,high,
NCTC_sn_hym_14Sep22,144.6,NCTC,09/14/22,sweep net,coleoptera,NA,,,1,order,,CB,2/8/2024,intact,high,
NSCN_sn_hym_28Sep22,146.2,NSCN,09/28/22,sweep net,hymenoptera,braconidae,,,1,family,,AF,2/8/2024,intact,high,
NSCN_sn_hym_28Sep22,146.3,NSCN,09/28/22,sweep net,hymenoptera,chalcidoidea,,,3,family,,AF,2/8/2024,deteriorating,high,one was beheaded
NSCN_sn_hym_28Sep22,146.4,NSCN,09/28/22,sweep net,hymenoptera,ceraphronidea,,,1,family,,AF,2/8/2024,intact,high,
NCTC_bv_hym_20Oct22,147.1,NCTC,10/20/22,blue vane,hymenoptera,halictidae,,,44,family,,SA,2/12/2024,intact,high,
TAD_bv_hym_28Sep22,148.1,TAD,09/28/22,blue vane,hymenoptera,vespidae,,,19,family,,SA,2/12/2024,intact,high,
TAD_bv_hym_28Sep22,148.2,TAD,09/28/22,blue vane,hymenoptera,chrysididae,,,8,family,,SA,2/12/2024,intact,high,
NCTC_bv_hym_14Sep22,149.1,NCTC,09/14/22,blue vane,hymenoptera,vespidae,,,2,family,,CB,2/13/2024,intact,high,
SLSC_bv_hym_26Jul22,150.1,SLSC,07/26/22,blue vane,hymenoptera,pompilidae,,,1,family,,AF,2/13/2024,intact,high,
NCTC_bv_hym_14Sep22,149.2,NCTC,09/14/22,blue vane,hymenoptera,sphecidae,,,1,family,,CB,2/13/2024,intact,high,
SLSC_bv_hym_26Jul22,150.2,SLSC,07/26/22,blue vane,hymenoptera,colletidae,,,1,family,,AF,2/13/2024,intact,high,
NCTC_bv_hym_14Sep22,149.3,NCTC,09/14/22,blue vane,hymenoptera,formicidae,,,2,family,,CB,2/13/2024,deteriorating,low,"ants with wings, one is unsure"
NCTC_bv_hym_14Sep22,149.4,NCTC,09/14/22,blue vane,hymenoptera,chalcidoidea,,,2,superfamily,,CB,2/13/2024,deteriorating,high,
SLSC_bv_hym_26Jul22,150.3,SLSC,07/26/22,blue vane,hymenoptera,chalcidoidea,,,5,superfamily,,AF,2/13/2024,deteriorating,high,
SLSC_bv_hym_26Jul22,150.4,SLSC,07/26/22,blue vane,thysanoptera,NA,,,2,order,,AF,2/13/2024,intact,high ,
SLSC_bv_hym_26Jul22,150.5,SLSC,07/26/22,blue vane,NA,collembola ,,,1,class,,AF,2/13/2024,intact,high,
TAD_sn_hym_27Jul22,151.1,TAD,07/27/22,sweep net,hymenoptera,formicidae,,,1,family,,AF,2/15/2024,intact,high,
TSSS_bv_hym_15Jul22,132.2,TSSS,07/15/22,blue vane,hymenoptera,chalcidoidea,,,1,superfamily,,CB,2/15/2024,intact,high,
TAD_sn_hym_27Jul22,151.2,TAD,07/27/22,sweep net,hymenoptera,braconidae,,,8,family,,AF,2/15/2024,intact,high,
TSSS_sn_hym_15Jul22,152.1,TSSS,07/15/22,sweep net,hymenoptera,ichneumonidae,,,2,family,,CB,2/15/2024,intact,high,
TAD_sn_hym_27Jul22,151.3,TAD,07/27/22,sweep net,hymenoptera,ichneumonidae,,,1,family,,AF,2/15/2024,intact,high,
TAD_sn_hym_27Jul22,151.4,TAD,07/27/22,sweep net,hymenoptera,chalcidoidea,,,3,superfamily,,AF,2/15/2024,intact,high,
TSSS_sn_hym_15Jul22,152.2,TSSS,07/15/22,sweep net,hymenoptera,braconidae,,,5,family,,CB,2/15/2024,intact,high,
TSSS_sn_hym_15Jul22,152.3,TSSS,07/15/22,sweep net,hymenoptera,formicidae,,,1,family,,CB,2/15/2024,intact,high,
TAD_sn_hym_27Jul22,151.5,TAD,07/27/22,sweep net,hymenoptera,ceraphronidae,,,5,superfamily,,AF,2/15/2024,intact,high,
TSSS_sn_hym_15Jul22,152.4,TSSS,07/15/22,sweep net,hymenoptera,chalcidoidea,,,7,superfamily,,CB,2/15/2024,deteriorating,high,only a few deteriorating 
TAD_sn_hym_27Jul22,151.6,TAD,07/27/22,sweep net,hymenoptera,cynipoidea,,,1,superfamily,,AF,2/15/2024,intact,high,
TAD_sn_hym_27Jul22,151.7,TAD,07/27/22,sweep net,hymenoptera,proctotrupoidea,,,1,superfamily,,AF,2/15/2024,intact,low,
TAD_bv_hym_28Sep22,148.3,TAD,09/28/22,blue vane,hymenoptera,formicidae,,,2,family,,CB,2/20/2024,intact,high,
TSCS_pf_hym_13Jul22,153.1,TSCS,07/13/22,pitfall,hymenoptera,formicidae,,,28,family,,CB,2/20/2024,deteriorating,high,
SLSC_bv_hym_29Sep22,154.1,SLSC,09/29/22,blue vane,hymenoptera,vespidae,,,24,family,,AF,2/22/2024,intact,high,
SLSC_bv_hym_29Sep22,154.2,SLSC,09/29/22,blue vane,hymenoptera,pompilidae,,,1,family,,AF,2/22/2024,intact,high,
TSSS_sn_hym_15Jul22,152.5,TSSS,07/15/22,sweep net,hymenoptera,cynipoidea,,,1,superfamily,,CB,2/22/2024,intact,high,
SLSC_bv_hym_29Sep22,154.3,SLSC,09/29/22,blue vane,diptera,NA,,,3,order,,AF,2/22/2024,intact,high,
TSSS_sn_hym_15Jul22,152.6,TSSS,07/15/22,sweep net,hymenoptera,diapriidae,,,2,family,,CB,2/22/2024,intact,low,first time finding this family and first time using new key
SLSC_bv_hym_29Sep22,154.4,SLSC,09/29/22,blue vane,hymenoptera,chalcidoidea,,,2,superfamily,,AF,2/22/2024,deteriorating,high,
TSSS_sn_hym_15Jul22,152.7,TSSS,07/15/22,sweep net,hymenoptera,platygastroidea,,,2,superfamily,,CB,2/22/2024,intact,low,
NCTC_sn_hym_20Oct22,155.1,NCTC,10/20/22,sweep net,hymenoptera,chrysididae,,,1,family,,AF,2/22/2024,intact,high,
TSSS_sn_hym_15Jul22,152.8,TSSS,07/15/22,sweep net,hymenoptera,ceraphronoidea,,,1,superfamily,,CB,2/27/2024,intact,low,
TSSS_sn_hym_15Jul22,152.9,TSSS,07/15/22,sweep net,hymenoptera,mymaridae,,,3,family,,CB,2/27/2024,intact,high,under chalcidoidea superfamily (used new key)
TSCS_pf_hym_13Jul22,153.2,TSCS,07/13/22,pitfall,hymenoptera,platygastroidea,,,3,superfamily,,CB,2/29/2024,deteriorating,high,
TY_sn_hym_14Sep22,143.3,TY,09/14/22,sweep net,hymenoptera,cynipoidea,,,1,family,,AF,3/14/2024,intact,high,
TSCS_pf_hym_13Jul22,153.3,TSCS,07/13/22,pitfall,hymenoptera,megaspilidae,,,1,family,,CB,3/14/2024,deteriorating,low,
TSCS_pf_hym_13Jul22,153.4,TSCS,07/13/22,pitfall,hymenoptera,scelionidae,,,2,family,,CB,3/14/2024,intact,low,
TY_sn_hym_14Sep22,143.4,TY,09/14/22,sweep net,hymenoptera,ceraphronoidea,,,1,superfamily,,AF,3/14/2024,intact,low,
TY_sn_hym_14Sep22,143.5,TY,09/14/22,sweep net,hymenoptera,platygastroidea,,,1,superfamily,,AF,3/14/2024,deteriorating,low,beheaded + missing antenna
TY_sn_hym_14Sep22,143.6,TY,09/14/22,sweep net,hymenoptera,chalcidoidea,,,2,superfamily,,AF,3/14/2024,intact,low,
TSSS_bv_hym_13Sep22,155.1,TSSS,09/13/22,blue vane,hymenoptera,mymaridae,,,1,family,,CB,3/14/2024,deteriorating,low,
NSSN_pf_hym_15Jul22,156.1,NSSN,07/15/22,pitfall,hymenoptera,formicidae,,,80,family,,AF,3/19/2024,deteriorating,high,
NSSN_sn_hym_15Jul22,157.1,NSSN,07/15/22,sweep net,hymenoptera,formicidae,,,61,family,,CB,3/19/2024,deteriorating,high,
NSSN_pf_hym_15Jul22,156.2,NSSN,07/15/22,,ixodida,NA,,,1,order,,AF,3/19/2024,deteriorating,high,
NSSN_pf_hym_15Jul22,156.3,NSSN,07/15/22,pitfall,diptera,NA,,,1,order,,AF,3/19/2024,intact,high,
NSSN_sn_hym_15Jul22,157.2,NSSN,07/15/22,sweep net,hymenoptera,perilampidae,,,5,family,,CB,3/19/2024,intact,high,
NSSN_sn_hym_15Jul22,157.3,NSSN,07/15/22,sweep net,hymenoptera,pteromalidae,,,1,family,,CB,3/19/2024,intact,low,
NSSN_pf_hym_15Jul22,156.4,NSSN,07/15/22,pitfall,hymenoptera,chalcidoidea,,,4,superfamily,,AF,3/19/2024,intact,high,no wings
NSSN_pf_hym_15Jul22,156.5,NSSN,07/15/22,pitfall,hymenoptera,ceraphronoidea,,,2,superfamily,,AF,3/19/2024,intact,low,
NSSN_pf_hym_15Jul22,156.6,NSSN,07/15/22,pitfall,hymenoptera,platygastroidea,,,4,superfamily,,AF,3/19/2024,intact,high,
NSSN_pf_hym_15Jul22,156.7,NSSN,07/15/22,pitfall,hymenoptera,diapriidae,,,6,family,,AF,3/19/2024,intact,high,tiny wings/wings came off/deteroriated 
NSSN_pf_hym_15Jul22,156.8,NSSN,07/15/22,pitfall,hymenoptera,encrytidae,,,2,family,,AF,3/19/2024,deteriorating,low,
NSSN_sn_hym_15Jul22,157.4,NSSN,07/15/22,sweep net,hymenoptera,braconidae,,,20,family,,CB,3/21/2024,intact,high,
NSSN_sn_hym_15Jul22,157.5,NSSN,07/15/22,sweep net,hymenoptera,diapriidae,,,2,family,,CB,3/21/2024,intact,high,
NSSN_sn_hym_15Jul22,157.6,NSSN,07/15/22,sweep net,hymenoptera,figitidae,,,4,family,,CB,3/21/2024,intact,high,
SLSC_sw_hym_29Sep22,158.1,SLSC,09/29/22,sweep net,hymenoptera,vespidae,,,1,family,,AF,3/28/2024,intact,high,
SLSC_sw_hym_29Sep22,158.2,SLSC,09/29/22,sweep net,hymenoptera,formicidae,,,1,family,,AF,3/28/2024,intact,high,
SLSC_sw_hym_29Sep22,158.3,SLSC,09/29/22,sweep net,hymenoptera,perilamidae,,,1,family,,AF,3/28/2024,deteriorating,low,"body twisted in weird position, only head metallic? definitely chalcidoidea"
NSSN_sn_hym_15Jul22,157.7,NSSN,07/15/22,sweep net,hymenoptera,mymaridae,,,3,family,,CB,3/28/2024,deteriorating,low,
NCTC_pf_hym_15Jul22,159.1,NCTC,07/15/22,pitfall,ixodida,NA,,,1,order,,AF,3/28/2024,intact,high,
NSSN_sn_hym_15Jul22,157.8,NSSN,07/15/22,sweep net,hymenoptera,platygastridae,,,6,family,,CB,3/28/2024,deteriorating,high,
NCTC_pf_hym_15Jul22,159.2,NCTC,07/15/22,pitfall,NA,NA,,,1,NA,,AF,3/28/2024,intact,low,"unclear, 6 legs, very hairy "
NSSN_sn_hym_15Jul22,157.9,NSSN,07/15/22,sweep net,hymenoptera,encyrtidae,,,1,family,,CB,3/28/2024,intact,high,
NCTC_pf_hym_15Jul22,159.3,NCTC,07/15/22,pitfall,hymenoptera,formicidae,,,74,family,,AF,3/28/2024,intact,high,
NCTC_pf_hym_15Jul22,159.4,NCTC,07/15/22,pitfall,hymenoptera,vespidae,,,1,family,,AF,3/28/2024,intact,high,
SLNS_bv_hym_29Sep22,160.1,SLNS,09/29/22,blue vane,hymenoptera,chrysididae,,,1,family,,SA,4/1/2024,intact,high,
SLNS_bv_hym_29Sep22,160.2,SLNS,09/29/22,blue vane,hymenoptera,encyrtidae,,,1,family,,SA,4/1/2024,intact,high,
